risk_cluster,borrowers,total_ead,avg_pd,total_expected_loss,observed_default_rate,anomaly_rate,scenario,expected_loss_share,ead_share
0,718,1357289.0,0.38057904073891785,224480.7744401939,0.25069637883008355,0.016713091922005572,base,0.3063549455958336,0.41491346754062197
1,282,1913969.0,0.5624399817990787,508266.57521854393,0.425531914893617,0.1347517730496454,base,0.6936450544041664,0.585086532459378
0,718,1357289.0,0.44254454275741933,290403.2106059707,0.25069637883008355,0.016713091922005572,mild_stress,0.3085294880528941,0.41491346754062197
1,282,1913969.0,0.6520770818636049,650846.2383160207,0.425531914893617,0.1347517730496454,mild_stress,0.6914705119471058,0.585086532459378
0,718,1398007.67,0.4947672492004718,369074.57109527086,0.25069637883008355,0.016713091922005572,adverse_stress,0.31199546800100597,0.4149134675406219
1,282,1971388.07,0.7236881860421304,813873.9295992354,0.425531914893617,0.1347517730496454,adverse_stress,0.6880045319989939,0.585086532459378
0,718,1425153.45,0.555909843742352,501152.9744965282,0.25069637883008355,0.016713091922005572,severe_stress,0.3204188035076613,0.4149134675406219
1,282,2009667.4500000002,0.7864304720739449,1062903.0952794938,0.425531914893617,0.1347517730496454,severe_stress,0.6795811964923386,0.585086532459378
