,borrowers,observed_default_rate,avg_predicted_pd,median_predicted_pd,avg_credit_amount,total_exposure_proxy,total_expected_loss_proxy,avg_duration_months,avg_age,avg_installment_rate,avg_ensemble_anomaly_score,portfolio_share,exposure_share,expected_loss_share
normal_profile,950,0.2894736842105263,0.4194149995651042,0.38973289474072004,3017.8442105263157,2866952,600467.2152853957,20.445263157894736,35.16421052631579,2.993684210526316,0.17008545249798657,0.95,0.8764065689713254,0.8194737457120126
anomalous_profile,50,0.5,0.6683915306206853,0.7249094043504409,8086.12,404306,132280.13437334212,29.6,42.8,2.58,0.4077196524945363,0.05,0.1235934310286746,0.18052625428798738
