ensemble_anomaly_flag,borrowers,total_ead,avg_pd,total_expected_loss,observed_default_rate,scenario,expected_loss_share,ead_share,profile_type
0,950,2866952.0,0.4194149995651042,600467.2152853957,0.2894736842105263,base,0.8194737457120126,0.8764065689713254,normal_profile
1,50,404306.0,0.6683915306206853,132280.13437334212,0.5,base,0.18052625428798738,0.1235934310286746,anomalous_profile
0,950,2866952.0,0.48778217785729666,774705.5449640322,0.2894736842105263,mild_stress,0.8230608218164683,0.8764065689713254,normal_profile
1,50,404306.0,0.7647929964186355,166543.90395795926,0.5,mild_stress,0.1769391781835317,0.1235934310286746,anomalous_profile
0,950,2952960.56,0.5448550766879898,978192.6643305429,0.2894736842105263,adverse_stress,0.8269106083284676,0.8764065689713254,normal_profile
1,50,416435.18,0.834212610724585,204755.83636396338,0.5,adverse_stress,0.17308939167153237,0.12359343102867458,anomalous_profile
0,950,3010299.6,0.6069717110192054,1302881.4169368185,0.2894736842105263,severe_stress,0.8330145204598678,0.8764065689713253,normal_profile
1,50,424521.30000000005,0.8858707092723225,261174.65283920357,0.5,severe_stress,0.16698547954013224,0.1235934310286746,anomalous_profile
