risk_band,borrowers,observed_defaults,observed_default_rate,avg_predicted_pd,median_predicted_pd,exposure_proxy,avg_exposure_proxy,expected_loss_proxy,anomaly_rate,borrower_share,exposure_share,expected_loss_share
high_risk,322,201,0.6242236024844721,0.7858519862643436,0.7904630935965755,1300055,4037.4378881987577,473754.64132460824,0.09627329192546584,0.322,0.3974174461323442,0.646545690742177
elevated_risk,178,58,0.3258426966292135,0.502679600931842,0.5033372172525374,647615,3638.2865168539324,149564.19184947285,0.05056179775280899,0.178,0.19797123919910933,0.2041142720190381
moderate_risk,198,26,0.13131313131313133,0.3008105670514544,0.3093121841617636,546772,2761.4747474747473,74844.37732391868,0.030303030303030304,0.198,0.1671442607094885,0.10214213310873922
low_risk,302,15,0.04966887417218543,0.09861597781029384,0.09633270632569045,776816,2572.2384105960264,34584.13916073808,0.013245033112582781,0.302,0.23746705395905796,0.047197904130045557
