feature,coefficient,absolute_coefficient
duration_months,0.34764955572421147,0.34764955572421147
credit_amount,-0.21533054019944814,0.21533054019944814
installment_rate_pct_income,0.19042070446792494,0.19042070446792494
present_residence_since,-0.051088190097588214,0.051088190097588214
age_years,0.17988976997132503,0.17988976997132503
existing_credits,0.09743330451020152,0.09743330451020152
people_liable,0.13456093487926596,0.13456093487926596
credit_amount_per_month,0.2858221632832637,0.2858221632832637
credit_amount_log,0.2056645592240202,0.2056645592240202
duration_years,0.347649555724213,0.347649555724213
long_duration_flag,0.05889435519330207,0.05889435519330207
high_credit_amount_flag,-0.05178078351541054,0.05178078351541054
installment_burden_proxy,0.2905663316434227,0.2905663316434227
checking_account_status_A11,0.6982140802952537,0.6982140802952537
checking_account_status_A12,0.23698901508141584,0.23698901508141584
checking_account_status_A13,0.040571901208443575,0.040571901208443575
checking_account_status_A14,-0.9918415565466563,0.9918415565466563
credit_history_A30,0.6933215389573693,0.6933215389573693
credit_history_A31,0.26818724323217624,0.26818724323217624
credit_history_A32,-0.006542577858030256,0.006542577858030256
credit_history_A33,-0.09433886776044109,0.09433886776044109
credit_history_A34,-0.876693896532632,0.876693896532632
purpose_A40,0.4434755067803217,0.4434755067803217
purpose_A41,-0.9192135055379395,0.9192135055379395
purpose_A410,-0.527181096406621,0.527181096406621
purpose_A42,0.20127932237640328,0.20127932237640328
purpose_A43,-0.25083274727667443,0.25083274727667443
purpose_A44,-0.07442877380525485,0.07442877380525485
purpose_A45,0.5023599327327237,0.5023599327327237
purpose_A46,0.9821493580338226,0.9821493580338226
purpose_A48,-0.2838638438729438,0.2838638438729438
purpose_A49,-0.08981071298539245,0.08981071298539245
savings_account_A61,0.5765680243387198,0.5765680243387198
savings_account_A62,0.2682210309070377,0.2682210309070377
savings_account_A63,0.16965610216035523,0.16965610216035523
savings_account_A64,-0.6218103978948917,0.6218103978948917
savings_account_A65,-0.408701319472778,0.408701319472778
employment_since_A71,0.26508165085241936,0.26508165085241936
employment_since_A72,0.3411683437394797,0.3411683437394797
employment_since_A73,-0.04594467525582587,0.04594467525582587
employment_since_A74,-0.5568838710026911,0.5568838710026911
employment_since_A75,-0.0194880082949412,0.0194880082949412
personal_status_sex_A91,0.5258808542828335,0.5258808542828335
personal_status_sex_A92,0.0003833770465399966,0.0003833770465399966
personal_status_sex_A93,-0.4672133172751876,0.4672133172751876
personal_status_sex_A94,-0.07511747401574698,0.07511747401574698
other_debtors_guarantors_A101,-0.02614252514287867,0.02614252514287867
other_debtors_guarantors_A102,0.4396506874240186,0.4396506874240186
other_debtors_guarantors_A103,-0.4295747222426958,0.4295747222426958
property_A121,-0.3579941736158901,0.3579941736158901
property_A122,-0.19956354839574242,0.19956354839574242
property_A123,-0.08266222728211454,0.08266222728211454
property_A124,0.6241533893321881,0.6241533893321881
other_installment_plans_A141,0.5252161254236835,0.5252161254236835
other_installment_plans_A142,-0.11371117778396436,0.11371117778396436
other_installment_plans_A143,-0.4275715076012782,0.4275715076012782
housing_A151,0.4876455986076028,0.4876455986076028
housing_A152,-0.0071294882792739675,0.0071294882792739675
housing_A153,-0.49658267028989295,0.49658267028989295
job_A171,-0.3053307876282028,0.3053307876282028
job_A172,0.16641744019628782,0.16641744019628782
job_A173,0.1304732209649665,0.1304732209649665
job_A174,-0.007626433494605329,0.007626433494605329
telephone_A191,0.1656849090124175,0.1656849090124175
telephone_A192,-0.18175146897396843,0.18175146897396843
foreign_worker_A201,0.6505435081755468,0.6505435081755468
foreign_worker_A202,-0.6666100681370941,0.6666100681370941
age_bucket_early_career,0.12097928497810717,0.12097928497810717
age_bucket_mid_career,-0.40887587808348635,0.40887587808348635
age_bucket_senior,-0.18679631831768184,0.18679631831768184
age_bucket_young,0.4586263514615032,0.4586263514615032
duration_bucket_long_term,0.1232498707872589,0.1232498707872589
duration_bucket_medium_term,0.46260272921176504,0.46260272921176504
duration_bucket_short_term,0.008358339033639516,0.008358339033639516
duration_bucket_very_long_term,-0.6102774989942091,0.6102774989942091
credit_amount_bucket_high_amount,-0.026147972637514786,0.026147972637514786
credit_amount_bucket_low_amount,0.7692549975766666,0.7692549975766666
credit_amount_bucket_medium_high_amount,-0.7490039438145719,0.7490039438145719
credit_amount_bucket_medium_low_amount,-0.010169641086135528,0.010169641086135528
