k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,inertia
2,0.2321549058044131,242.01464564915506,1.85186897776927,18486.296403453056
3,0.20774845819953977,168.70150273605532,1.9979315910667144,17161.463945649208
4,0.10269690990338719,138.65611375744467,2.5679167642678395,16202.445325398114
5,0.10458592193777079,119.97541156297822,2.143669992304633,15495.521814636988
6,0.09076255185214342,107.65617951025146,2.16849414411072,14900.271519216827
7,0.08706566310127638,96.78005132013556,2.331101073092996,14493.688512020939
8,0.08629101335953838,93.34241357915549,2.108878113831386,13848.00412124208
