feature,coefficient,absolute_coefficient,odds_ratio,risk_direction,feature_family
duration_months,0.34764955572421147,0.34764955572421147,1.4157360262093415,higher_estimated_default_risk,duration
credit_amount,-0.21533054019944814,0.21533054019944814,0.8062748898640512,lower_estimated_default_risk,credit_amount
installment_rate_pct_income,0.19042070446792494,0.19042070446792494,1.2097584413947342,higher_estimated_default_risk,installment
present_residence_since,-0.051088190097588214,0.051088190097588214,0.9501948690590211,lower_estimated_default_risk,other
age_years,0.17988976997132503,0.17988976997132503,1.1970854010907659,higher_estimated_default_risk,age
existing_credits,0.09743330451020152,0.09743330451020152,1.102337918144139,higher_estimated_default_risk,existing_credits
people_liable,0.13456093487926596,0.13456093487926596,1.1440343684746237,higher_estimated_default_risk,people_liable
credit_amount_per_month,0.2858221632832637,0.2858221632832637,1.3308557591876264,higher_estimated_default_risk,credit_amount
credit_amount_log,0.2056645592240202,0.2056645592240202,1.2283410991893182,higher_estimated_default_risk,credit_amount
duration_years,0.347649555724213,0.347649555724213,1.4157360262093437,higher_estimated_default_risk,duration
long_duration_flag,0.05889435519330207,0.05889435519330207,1.0606631812642562,higher_estimated_default_risk,duration
high_credit_amount_flag,-0.05178078351541054,0.05178078351541054,0.949536998191876,lower_estimated_default_risk,credit_amount
installment_burden_proxy,0.2905663316434227,0.2905663316434227,1.3371845635587616,higher_estimated_default_risk,installment
checking_account_status_A11,0.6982140802952537,0.6982140802952537,2.010159516360165,higher_estimated_default_risk,checking_account_status
checking_account_status_A12,0.23698901508141584,0.23698901508141584,1.2674271951142644,higher_estimated_default_risk,checking_account_status
checking_account_status_A13,0.040571901208443575,0.040571901208443575,1.0414061853738685,higher_estimated_default_risk,checking_account_status
checking_account_status_A14,-0.9918415565466563,0.9918415565466563,0.3708930412172029,lower_estimated_default_risk,checking_account_status
credit_history_A30,0.6933215389573693,0.6933215389573693,2.0003487471974655,higher_estimated_default_risk,credit_history
credit_history_A31,0.26818724323217624,0.26818724323217624,1.3075919548382529,higher_estimated_default_risk,credit_history
credit_history_A32,-0.006542577858030256,0.006542577858030256,0.9934787782045346,lower_estimated_default_risk,credit_history
credit_history_A33,-0.09433886776044109,0.09433886776044109,0.9099743490183586,lower_estimated_default_risk,credit_history
credit_history_A34,-0.876693896532632,0.876693896532632,0.4161564962593214,lower_estimated_default_risk,credit_history
purpose_A40,0.4434755067803217,0.4434755067803217,1.5581130515403128,higher_estimated_default_risk,purpose
purpose_A41,-0.9192135055379395,0.9192135055379395,0.3988325973923395,lower_estimated_default_risk,purpose
purpose_A410,-0.527181096406621,0.527181096406621,0.5902665311329792,lower_estimated_default_risk,purpose
purpose_A42,0.20127932237640328,0.20127932237640328,1.222966325979681,higher_estimated_default_risk,purpose
purpose_A43,-0.25083274727667443,0.25083274727667443,0.7781525088020096,lower_estimated_default_risk,purpose
purpose_A44,-0.07442877380525485,0.07442877380525485,0.928273589099828,lower_estimated_default_risk,purpose
purpose_A45,0.5023599327327237,0.5023599327327237,1.6526167367049458,higher_estimated_default_risk,purpose
purpose_A46,0.9821493580338226,0.9821493580338226,2.6701892713180726,higher_estimated_default_risk,purpose
purpose_A48,-0.2838638438729438,0.2838638438729438,0.752869145475012,lower_estimated_default_risk,purpose
purpose_A49,-0.08981071298539245,0.08981071298539245,0.9141041969507605,lower_estimated_default_risk,purpose
savings_account_A61,0.5765680243387198,0.5765680243387198,1.7799192966913686,higher_estimated_default_risk,savings_account
savings_account_A62,0.2682210309070377,0.2682210309070377,1.307636136076461,higher_estimated_default_risk,savings_account
savings_account_A63,0.16965610216035523,0.16965610216035523,1.1848972976251102,higher_estimated_default_risk,savings_account
savings_account_A64,-0.6218103978948917,0.6218103978948917,0.5369714251528799,lower_estimated_default_risk,savings_account
savings_account_A65,-0.408701319472778,0.408701319472778,0.6645126796820736,lower_estimated_default_risk,savings_account
employment_since_A71,0.26508165085241936,0.26508165085241936,1.3035374063736263,higher_estimated_default_risk,employment_since
employment_since_A72,0.3411683437394797,0.3411683437394797,1.406590011554638,higher_estimated_default_risk,employment_since
employment_since_A73,-0.04594467525582587,0.04594467525582587,0.9550948011045847,lower_estimated_default_risk,employment_since
employment_since_A74,-0.5568838710026911,0.5568838710026911,0.5729918011533345,lower_estimated_default_risk,employment_since
employment_since_A75,-0.0194880082949412,0.0194880082949412,0.980700655391164,lower_estimated_default_risk,employment_since
personal_status_sex_A91,0.5258808542828335,0.5258808542828335,1.6919485523053595,higher_estimated_default_risk,personal_status_sex
personal_status_sex_A92,0.0003833770465399966,0.0003833770465399966,1.000383450544912,higher_estimated_default_risk,personal_status_sex
personal_status_sex_A93,-0.4672133172751876,0.4672133172751876,0.626746380321464,lower_estimated_default_risk,personal_status_sex
personal_status_sex_A94,-0.07511747401574698,0.07511747401574698,0.9276345069768771,lower_estimated_default_risk,personal_status_sex
other_debtors_guarantors_A101,-0.02614252514287867,0.02614252514287867,0.9741962322564581,lower_estimated_default_risk,other_debtors_guarantors
other_debtors_guarantors_A102,0.4396506874240186,0.4396506874240186,1.5521649330721687,higher_estimated_default_risk,other_debtors_guarantors
other_debtors_guarantors_A103,-0.4295747222426958,0.4295747222426958,0.6507858006064847,lower_estimated_default_risk,other_debtors_guarantors
property_A121,-0.3579941736158901,0.3579941736158901,0.6990771480866472,lower_estimated_default_risk,property
property_A122,-0.19956354839574242,0.19956354839574242,0.8190881674199756,lower_estimated_default_risk,property
property_A123,-0.08266222728211454,0.08266222728211454,0.9206620692360613,lower_estimated_default_risk,property
property_A124,0.6241533893321881,0.6241533893321881,1.8666649498179522,higher_estimated_default_risk,property
other_installment_plans_A141,0.5252161254236835,0.5252161254236835,1.6908242389975956,higher_estimated_default_risk,other_installment_plans
other_installment_plans_A142,-0.11371117778396436,0.11371117778396436,0.8925156970213934,lower_estimated_default_risk,other_installment_plans
other_installment_plans_A143,-0.4275715076012782,0.4275715076012782,0.6520907708820781,lower_estimated_default_risk,other_installment_plans
housing_A151,0.4876455986076028,0.4876455986076028,1.6284776129582952,higher_estimated_default_risk,housing
housing_A152,-0.0071294882792739675,0.0071294882792739675,0.9928958662316103,lower_estimated_default_risk,housing
housing_A153,-0.49658267028989295,0.49658267028989295,0.6086069205695442,lower_estimated_default_risk,housing
job_A171,-0.3053307876282028,0.3053307876282028,0.736879583422661,lower_estimated_default_risk,job
job_A172,0.16641744019628782,0.16641744019628782,1.1810660232660664,higher_estimated_default_risk,job
job_A173,0.1304732209649665,0.1304732209649665,1.1393674283247481,higher_estimated_default_risk,job
job_A174,-0.007626433494605329,0.007626433494605329,0.9924025739613327,lower_estimated_default_risk,job
telephone_A191,0.1656849090124175,0.1656849090124175,1.1802011723776102,higher_estimated_default_risk,telephone
telephone_A192,-0.18175146897396843,0.18175146897396843,0.8338085419591097,lower_estimated_default_risk,telephone
foreign_worker_A201,0.6505435081755468,0.6505435081755468,1.9165822240927928,higher_estimated_default_risk,foreign_worker
foreign_worker_A202,-0.6666100681370941,0.6666100681370941,0.5134461785089407,lower_estimated_default_risk,foreign_worker
age_bucket_early_career,0.12097928497810717,0.12097928497810717,1.1286015331197272,higher_estimated_default_risk,age_bucket
age_bucket_mid_career,-0.40887587808348635,0.40887587808348635,0.6643966933954073,lower_estimated_default_risk,age_bucket
age_bucket_senior,-0.18679631831768184,0.18679631831768184,0.8296126960874332,lower_estimated_default_risk,age_bucket
age_bucket_young,0.4586263514615032,0.4586263514615032,1.581899517898816,higher_estimated_default_risk,age_bucket
duration_bucket_long_term,0.1232498707872589,0.1232498707872589,1.1311670312346074,higher_estimated_default_risk,duration_bucket
duration_bucket_medium_term,0.46260272921176504,0.46260272921176504,1.5882022707032428,higher_estimated_default_risk,duration_bucket
duration_bucket_short_term,0.008358339033639516,0.008358339033639516,1.0083933674745207,higher_estimated_default_risk,duration_bucket
duration_bucket_very_long_term,-0.6102774989942091,0.6102774989942091,0.5432001106734488,lower_estimated_default_risk,duration_bucket
credit_amount_bucket_high_amount,-0.026147972637514786,0.026147972637514786,0.9741909253421631,lower_estimated_default_risk,credit_amount_bucket
credit_amount_bucket_low_amount,0.7692549975766666,0.7692549975766666,2.158157821909228,higher_estimated_default_risk,credit_amount_bucket
credit_amount_bucket_medium_high_amount,-0.7490039438145719,0.7490039438145719,0.47283729076950487,lower_estimated_default_risk,credit_amount_bucket
credit_amount_bucket_medium_low_amount,-0.010169641086135528,0.010169641086135528,0.9898818948651127,lower_estimated_default_risk,credit_amount_bucket
