,borrowers,observed_default_rate,avg_predicted_pd,median_predicted_pd,exposure_proxy,avg_exposure_proxy,expected_loss_proxy,avg_anomaly_score,borrower_share,exposure_share,expected_loss_share
normal_profile,950,0.2894736842105263,0.4194149995651042,0.38973289474072004,2866952,3017.8442105263157,600467.2152853957,0.17008545249798654,0.95,0.8764065689713254,0.8194737457120126
anomalous_profile,50,0.5,0.6683915306206853,0.7249094043504409,404306,8086.12,132280.13437334212,0.4077196524945363,0.05,0.1235934310286746,0.18052625428798738
